iteration,mean_reward,actor_loss,critic_loss,entropy,fill_rate
28,-1380.1135,-0.0008434611673076306,20052.422804309477,9.909703808446084,8.26124
166,-1286.4514,-0.0004667069297283888,42754.471648185485,9.562342328409995,4.5823154
29,-1380.1135,-0.0001943412747594618,58330.97605846774,9.92373659533839,2.7368069
167,-1268.6655,-0.002261375910752723,10331.026186050907,9.593665376786262,7.7539024
30,-1348.745,-0.0009507856992704253,16748.876882245462,9.926348217072025,8.175188
168,-1265.4796,-0.00011427584855306534,33092.9066280242,9.597300937098842,7.807803
31,-1326.7227,-0.0009603773529130605,34732.75745022682,9.97560977935791,8.375418
169,-1265.4796,-9.659681499244706e-05,27031.762427545364,9.605641272760206,3.427142
32,-1326.7227,-4.766117631187362e-05,40000.957976310485,10.000830504202074,4.621327
170,-1276.9702,-0.0026049829583855407,11116.97810609879,9.70914259264546,7.5810432
33,-1365.9707,0.00012542271325665137,13081.304947391633,10.055559658235119,7.9384146
171,-1344.24,-0.0013070248608146944,47485.022555443546,9.735287051047049,8.562862
34,-1353.1779,-0.0009008554231014944,50142.67732484879,10.046179425331854,8.15922
172,-1344.24,-0.0011366882151173008,16318.009072580646,9.736841024891023,3.694719
35,-1353.1779,-1.8578773785021996e-05,24257.27953314012,10.019787257717502,3.7978053
173,-1329.412,4.342962957678303e-05,24871.07470703125,9.760097049897716,6.974256
36,-1347.0122,-0.00010346196922323396,23369.606177545364,10.011376334774878,7.916933
174,-1329.412,-0.0015283895416125174,38652.631867439515,9.77521058820909,3.7017763
37,-1347.0122,-0.0016918161268075628,52561.601594002015,10.016145090903006,3.109157
175,-1321.5997,-2.592269541515458e-05,9326.850554435483,9.84368416570848,8.316731
38,-1363.6658,-0.0012714771644002007,13910.306640625,10.03979318372665,7.7118635
176,-1261.8202,-0.0003723058879615799,37477.32551033266,9.893271446228027,8.496708
39,-1363.1985,-0.0007841166919998584,40521.07081653226,10.089644439758793,7.5765967
177,-1261.8202,-0.0008709317358631281,24367.938445060485,9.88706011156882,3.8309157
40,-1363.1985,-0.0019832044734709687,36059.3097593246,10.034064169852964,3.3943892
178,-1304.9058,-0.000506700347027471,13947.13517515121,9.94473361199902,8.703351
41,-1367.117,-0.0004098277629142807,14645.72693264869,10.022619178218227,7.93072
179,-1304.9058,-0.0020128960811322733,52280.14116053427,9.926062199377245,3.3105254
42,-1291.2927,-0.002159216997003363,53602.574502268144,10.033982792208272,8.942705
180,-1296.5255,-0.000406063852771636,14272.587559853831,9.935432557136782,7.778108
43,-1291.2927,-0.000752066592535665,19900.118384576614,10.089754458396666,3.6581457
181,-1329.507,6.465159446722077e-05,28358.766255040322,9.929702374242968,7.0675793
44,-1285.9257,-0.0011259451989204653,27106.24283329133,10.071147526464154,8.103931
182,-1329.507,-0.000557614588028481,34052.78224231351,9.91203623433267,2.6567101
45,-1285.9257,-0.0010019670495943678,43506.97668850807,10.05330458764107,4.59978
183,-1237.0652,-0.00029148263556341974,8982.231705204133,9.967814730059716,7.992715
46,-1297.7928,-0.00047139754338610556,11740.350231539818,10.073444320309546,7.6655207
184,-1265.0912,-0.0003069116688904262,39223.77066532258,9.941321957495905,9.268724
47,-1280.345,-0.001007361622947839,39799.38805758568,10.154334199044012,8.039129
185,-1265.0912,-0.0014613008036488487,20839.502094884072,9.954366853160243,2.2717714
48,-1280.345,7.023535398465972e-05,29676.643192414314,10.228247350262057,4.5465765
186,-1317.306,-0.0004463582675183012,17581.836858933973,10.01795082707559,7.5873733
49,-1320.0292,-0.0008078355327128402,16612.194351688508,10.265544176101685,8.2763195
187,-1317.306,-0.00016755585168157854,46745.6488155242,10.059311213031892,2.9400349
50,-1288.4119,1.6396354523397262e-05,54586.2810609879,10.277831323685184,4.6549797
188,-1316.5233,-0.0007018172782996009,11560.344584803428,10.113876142809469,6.9927635
51,-1288.4119,-6.41208044403503e-05,17503.21359154486,10.343872008785125,5.9116898
189,-1311.492,-0.0008528657340174241,31733.076628654235,10.168067932128906,7.0366564
52,-1335.5553,-0.0005146488772645112,31168.33779611895,10.412337533889279,8.419877
190,-1311.492,-0.0011811302373966864,31254.322738155242,10.213160653268137,3.8270354
53,-1335.5553,-0.00010346824813994669,39963.40543094758,10.455001246544622,3.6639094
191,-1293.6453,-0.0010759866000303337,10427.967564736644,10.269704580307007,8.334053
54,-1311.0729,-0.00019854528363794088,11580.358563823085,10.500737574792677,7.5028954
192,-1295.2069,-0.0012198258491773759,45477.971648185485,10.297992221770748,8.756298
55,-1309.9027,-0.0006067747505561959,44027.979838709674,10.54829780517086,8.209408
193,-1295.2069,-0.0006876990965176974,17858.48972246724,10.335114702101677,3.224039
56,-1309.9027,-0.0005998097119792815,24516.840284778227,10.580515746147402,2.7943432
194,-1317.8557,-0.00033679092302918434,21268.714772870462,10.38818468586091,7.3763313
57,-1333.28,-0.0007401957522116361,19664.34865643901,10.579558403261247,8.104563
195,-1317.8557,-5.57803038147188e-05,42082.158896169356,10.455458502615652,2.0978034
58,-1333.28,-0.0004922058358187637,51438.82878654234,10.63318960128292,3.1745136
196,-1323.6044,0.00010300778423345858,10110.871755292339,10.513085049967613,6.660533
59,-1284.6877,-0.0007782455518721572,14466.577723349294,10.695127141091131,7.6375127
197,-1351.7738,0.00011598592203470969,36608.281281502015,10.552333285731654,7.6647997
60,-1325.5842,-0.0010643409520027138,35713.00954511089,10.710695312869165,7.666552
198,-1351.7738,-0.00035505611900120014,27597.9798859627,10.564404810628583,3.2874048
61,-1325.5842,-0.00012847685044811618,34779.91089654738,10.747332642155309,3.2750309
199,-1386.1536,-0.0004392552429870252,12471.193028603831,10.560710122508388,7.5437546
62,-1320.9877,-0.0008427281563560809,12149.239029422883,10.767166776041831,9.128505
200,-1306.6196,-0.0006714734444094281,48691.163778981856,10.564247861985237,3.67167
63,-1332.2725,-0.000855706001241361,50834.38334803427,10.766815500874673,9.515297
201,-1306.6196,-0.00022186429029510867,14243.104208669354,10.627296655408797,5.892694
64,-1332.2725,-0.0005187667575815032,22224.719017767136,10.792029980690248,2.0887196
202,-1293.1676,-0.0018269081690138386,24955.462449596773,10.710148949776926,7.094395
65,-1327.2585,-0.00015790789057650874,24367.96396169355,10.823656535917713,7.3271456
203,-1293.1676,-0.0023667464303153175,38549.59069430443,10.82855583775428,3.6626697
66,-1327.2585,-0.0017458320249833406,45259.612934727826,10.771791342766054,3.9045632
204,-1372.0094,0.0005468915088943416,9207.308428364415,10.921988471861809,7.0861874
67,-1274.7125,-0.000990452177281822,12164.84956999748,10.749262863589871,7.6076927
205,-1321.1569,-0.0001818046890079014,39954.30802671371,10.928155322228708,7.147491
68,-1256.8859,-0.0013252602319323247,37272.88465536795,10.792550263866302,9.038872
206,-1321.1569,-0.0003772769649062426,22578.926537298386,10.949629606739167,3.0013323
69,-1256.8859,-0.0006224498633415469,30905.249401461693,10.842825289695494,3.855461
207,-1352.5955,0.000341737785586907,15276.944446194557,11.021244587436799,7.896292
70,-1345.9681,0.0005781771014294316,14253.124519594254,10.904314294938118,8.483749
208,-1352.5955,-0.00023890695264262537,49942.5705015121,11.016005231488135,2.7546585
71,-1298.685,0.0002106396751778741,51185.8224546371,10.931294433532223,10.354191
209,-1326.6194,1.9950626958762447e-05,13027.327620967742,11.021481175576486,7.002598
72,-1298.685,-0.0011633465276850807,18238.379993069557,11.006936080994144,3.350681
210,-1344.6447,-0.0001598335727448425,30859.805695564515,11.06577867077243,6.4789295
73,-1295.4758,3.6587270217076424e-05,27454.15869140625,11.026682361479729,7.9801855
211,-1344.6447,-0.0017787792434495304,34848.74982673891,11.077876944695749,2.4732053
74,-1295.4758,-0.0002626827993099728,42119.61926663307,11.065030159488801,3.621751
212,-1355.7603,2.4461397720921425e-05,9732.325746597782,11.1159250890055,6.842649
75,-1326.9501,-0.0008925841670603522,11189.659014301915,11.105087257200672,7.859415
213,-1337.283,-0.0006386521422574597,44394.1707094254,11.174916382758848,7.199651
76,-1305.1418,-0.0007577139148188214,40877.18274319557,11.113974894246747,8.912855
214,-1337.283,9.04070348629067e-05,18846.83037739415,11.220903727316088,2.6487172
77,-1305.1418,-0.00042890567302463514,26572.91708669355,11.164161197600826,4.1038933
215,-1316.1123,7.250915551858563e-05,19127.151201801917,11.216897333821942,7.2992983
78,-1269.1189,-0.0002765068897016106,16963.3400327621,11.193147167082756,8.513111
216,-1316.1123,-0.0007585492210402604,44921.990265877015,11.220761599079255,2.6665747
79,-1269.1189,-0.0006491781002090823,52646.80777469758,11.235053716167327,3.1265974
217,-1324.674,-8.69395406616311e-05,10553.552159463206,11.211116113970357,7.248396
80,-1312.2733,-2.8183807679001362e-05,15412.803451045867,11.300851452735163,8.799404
218,-1345.0753,-0.0007934846705006014,33589.55534904234,11.240572114144602,7.226223
81,-1322.4192,7.16272005510907e-05,32215.52523311492,11.32025530261378,8.4828615
219,-1345.0753,-0.0014082813229892523,30168.80509702621,11.230937250198856,2.335322
82,-1322.4192,1.9422890017590214e-05,38165.14005796371,11.340722945428663,3.9584458
220,-1345.4327,0.0001478705239752608,11287.291984311996,11.239925592176375,7.835346
83,-1321.569,-0.00013386316957973663,11447.85652406754,11.375078970386136,7.441145
